"Taylor L Heaton Crisologo";"Temporal patterns in parental aggression match mortality rates during the nestling stage in the Herring Gull     (#902)";"Temporal changes in the intensity of nest defense behavior can be considered the consequence of balancing the benefits for current and future reproductive success. Models of avian nest defense predict that nest defense behaviour will vary during the different stages of chick rearing to optimize benefits to adult breeding birds. Here, we consider the intensity of nest defense behavior based on chick vulnerability in the herring gull (Larus argentatus ). In this study, we 1) estimated vulnerability by quantifying chick survival throughout the pre-fledging period, and 2) simultaneously quantified changes in parental aggression throughout the nesting cycle. We found that chick survival probabilities were lowest during the first 10 days of life and that a peak in parent nest defense intensity matched that stage. Thus, we show that parents alter their behaviour when chicks are most vulnerable, supporting the hypothesis that adults will optimize nest defense behaviours to temporally match the most vulnerable stages of offspring development.";"Cornell University, Ithaca, NY - NEW YORK, United States"
"Ashton L Dickerson";"Mother's nature: maternal styles in superb fairy-wrens     (#903)";"Maternal styles can have significant impacts on reproductive output\nand the development of young. Whilst maternal styles are well defined in many\nmammalian species, only recently has it been considered that birds too could\nshow consistent individual differences in maternal behaviours across breeding\nattempts (maternal ‘personalities’). Lab-based work by Pittet and colleagues in\n2014 demonstrated maternal styles in precocial Japanese quail. Our research is\nthe first field-based study on this topic. We are tracking maternal behaviour\nin altricial superb fairy-wrens (Malurus\ncyaneus) over two years. We are monitoring behaviour through video and\naudio recording at the nest during early and late incubation, and early and\nlate nestling stages. Additionally we are recording defence efforts from the\nmother prior to chick fledging. We are also testing whether maternal styles are\nrelated to other non-reproductive personality traits, such as aggression. We are\npresenting the results from the first breeding season. Much investigation in\nthe area is still needed and our research will add to the knowledge of maternal\nstyles and its significance. Moreover a better understanding of mothering\nbehaviours in birds can have important conservation implications for captive\nbreeding programs. ";"School of Biosciences, The University of Melbourne, Melbourne, Victoria, Australia"
"François Durand";"Juvenile dinosaurs from South Africa – an insight into parental care in early dinosaurs     (#904)";"South Africa has some of the oldest\ndinosaurs in the world.  Dinosaur nests\nwith embryo containing eggs and juvenile dinosaurs have also been discovered in\nSouth Africa (Kitching, 1979; Durand, 2001; Reisz et al., 2010).  In this\npresentation the nesting behaviour of Massospondylus\nand parental care in Plateosauravus (Euskelosaurus) will be discussed.  Massospondylus\nnests have been found in different horizons in late\nTriassic sedimentary deposits in South Africa with up to 34 eggs were found per\nclutch.  This discovery indicates nest\nfidelity and colonial nesting by prosauropods (Reisx et al., 2005).  The position\nand arrangement of the eggs indicate that they were manipulated into their\nposition by the adult and that the eggs were not randomly deposited into a heap\nas in the case of a crocodile egg clutch. \nOn the other hand it is dubious that endothermy has developed to such a\nlevel in prosauropods that they would brood on the eggs as in the case of later\ntheropod dinosaurs (Clark et al.,\n1999). Thousands of fossils of Plateosauravus were found in a flood\nplain deposit typical of a flash flood caused by torrential rains and rivers\nbreaking their banks.  The number and\nsize ranges of the fossils of Plateosauravus suggest that very young\njuveniles of different sizes were accompanied by adults.  The lack of intermediate sizes would suggest that\nsubadult animals were excluded from the rearing and foraging areas (Durand,\n2001).  The reproductive behaviour of prosauropod\ndinosaurs was similar to that of crocodiles and ground nesting birds showing\nthat there is more evidence to support precocious behaviour amongst hatchling\nprosauropod dinosaurs than previous believed.";"University of Johannesburg, Johannesburg, ACT, South Africa"
"Ewa Węgrzyn";"The trade-off between growth rate and thermoregulation ability in nestlings under high predation pressure     (#905)";"Nestling\ndevelopment is among the most energy-demanding periods of a bird's lifetime and altricial\nspecies, in particular,  require\nextensive parental energy investment in the form of feeding and heating. In species under\nhigh predation pressure it seems advantageous to shorten a risky nesting period\nand to reduce parental activity at the nest. It can be achieved by a strategy\nthat shifts allocation of resources between growth and endothetmy. Shortening\nof the nesting period may be achieved by rapid body growth in poikilothermic\nnestlings with the minimum possible feedings, and the onset of endothermy at a\nbody size enabling them to leave the nest. As a result, the frequent feedings\nnecessary for maintenance of warm-blooded young would be constrained to a short\nperiod. Such an optimal strategy would reduce both parental cost of\nreproduction and the risk of predation. In the present study we tested the energy allocation hypothesis in the\nBlackcap Sylvia atricapilla, a small\npasserine suffering from high nest predation. We analyzed the relation and trade-offs\nbetween nestling growth, development of thermoregulation and feeding rate. Our\nfindings revealed that Blackcap nestlings were characterized by rapid growth\nbut they achieved only 80% of their mature weight prior to fledging. Body mass\nshowed highest relative growth rate before nestlings achieved homeothermy. The\nonset of endothermy, indicated on day 7, coincided with 90% of nestling\nfledgling weight, indicating that the two processes are separated in time. A strong\nnegative correlation between feeding rate and growth rate demonstrated that\nBlackcap nestlings develop their bodies under relatively low feeding rates and\nmore feeding is needed for maintenance of body temperature than for body\ngrowth. The study indicates the high cost of endothermy for parents -\nendothermic nestlings received over 100% more feedings than ectothermic ones. Separating\nin time growth and development of endothermy may reduce the risk of predation by\nshortening nesting period and decreasing parental activity at the nest.";"-"
"Konrad Leniowski";"Silence in the nest – nestling anti-predator strategies in a species under high predation pressure     (#906)";", "Department of Zoology, University of Rzeszów, Rzeszów, Poland"
"Luciandra Toledo";"The System Dynamics method applied to research in maternal-filial behaviour beef cattle.     (#907)";", "Instituto de Zootecnia/APTA/SAA, Nova Odessa, SãO PAULO, Brazil"
"Christa Beckmann";"Avian nest abandonment prior to laying – a strategy to minimize predation risk?     (#908)";", "Deakin University, Geelong, VIC, Australia"
"Marlen Fröhlich";"The development of social and spatial independence: Do bonobos (Pan paniscus) and chimpanzees (Pan troglodytes) differ?     (#909)";"To model the behaviour of early hominoids,\na bulk of research has been focusing on humans’ closest relatives, bonobos (Pan paniscus) and chimpanzees (Pan troglodytes). Interspecific comparisons proposed a distinct bonobo-chimpanzee dichotomy in social behaviour and\ndevelopment, e.g. concerning aspects such as social bonds, sexuality and agonistic\ninteractions. However, recent reports of considerable inter-site variability of\nchimpanzee behaviour challenge this dichotomy. In addition, systematic\nquantitative comparisons of chimpanzee and bonobo behaviour in groups living in\nnatural environments are still lacking. The aim of the present study was\ntherefore to shed further light on this intriguing issue by studying the ontogeny\nof social and spatial independence in two bonobo (LuiKotale and Wamba, DRC)\nand two chimpanzee communities (Taï South, Côte d’Ivoire; Kanyawara,\nUganda). We had two questions: First, do social interactions emerge at\ncomparable time points in bonobos and chimpanzees? Second, does spatial\nindependence develop similarly in bonobos and chimpanzees? To answer these\nquestions, we investigated interaction rates and play behaviour as well as mother-infant\nbody contact and proximity. The behaviour of twelve chimpanzee and twelve\nbonobo infants was recorded\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nduring\n1200 and 600 hours of observation respectively,\n\n\n\n using a focal/time sampling protocol, which resulted\nin a total of 8562 sample points. Our results showed that\nconspecific interaction rates of bonobos increased compared to those of\nchimpanzees during the second year of life. In addition, bonobo infants showed\na higher frequency of social play while chimpanzee infants engaged more often\nin solitary play involving objects. Concerning the development of spatial\nindependence, bonobo infants stayed in closer proximity to their mothers than\nsame-aged chimpanzee infants. \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nThe frequency of body contact did not differ\nbetween the species,\nbut was influenced\nby mothers’ experience (i.e. parity). \n\n\n\nOverall,\nour findings provide substantial evidence that bonobos and chimpanzees differ in\npatterns related to social and spatial development. \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nResults\nwill be discussed in terms of hypotheses concerning self-domestication, social\nstructure and tool use.";"Humboldt Research Group 'Comparative Gestural Signalling', Max Planck Institute for Ornithology, Seewiesen, Germany"
"OTHMAN ALDOKHI";"Conservation of the Sand Fish Lizard Scincus mitranus (Squamata, Reptilia)     (#910)";"Abstract The\nsand fish lizard Scincus mitranus from the central desert of Saudi Arabia,\nare endangered animals and threatened with extinction as a result of human\nbehaviour. So, their conservation is essential. A successful breeding\nconservation will ensure their survival and increase their population. The main\naim of this work is to show that temperature has a profound effect in\ndetermining the development of certain artificially incubated reptile eggs into\nmale or female individuals. In particular, it concentrates on recent laboratory\nand field investigations on sex determination in squamata. In Laboratory\ninvestigations, eggs of  the Sand Fish\nLizard Scincus mitranus produced males at 29.5°C and females at 31.50C;\nboth sexes were produced at the threshold temperature of 30-31 °C. Generally,\namong most squamata incubation of eggs at cool temperatures will produce males\nand incubation of eggs at warm temperatures will produce females.  This work concludes that sex determination of\nScincus mitranus may help ultimately in their conservation.  ";"KING SAUD UNIVERSITY, RIYADH, CENTRAL, Saudi Arabia"
"Ronda Y Lau";"Interactive effects of vitamin E and a protein-containing juvenile diet on early development and adult life history traits in an insect     (#911)";"Vitamin\nE is known as a fat-soluble antioxidant agent whose most common and bioactive\nform in the nature is alpha-tocopherol. This substance is active in the electron\ntransport chainprocess, where it reduces the free radicals that contribute to aging.\nEffects of vitamin E have mostly been investigated in fat-containing diets.\nHowever, dietary protein might also interact with vitamin E. As excess protein isconverted\ninto fat for long term storage, protein consumption couldinteract with the\nanti-aging effects of vitamin E in the body. In this study, alpha-tocopherol was\nadded to a protein-containing juvenile diet to investigatehow this could\ninfluence juvenile development and adult life history traits. This experiment\nwas done on the neriid fly Telostylinus\nangusticollis, which is highly\nplastic to variation inlarval diet. The juvenile viability, development and\nsurvival, as well as the adult secondary sexual traits, aging and longevity,\nwere examined";"BEES, UNSW, Kensington , NSW, Australia"
"Miki Takahasi";"Development of vocal temporal patterns in human infants and juvenile songbirds.     (#912)";"Humans and\nsongbirds are both vocal learners. Although many features were pointed out to\nbe shared between them, there were no common indexes to compare their vocal\ndevelopment. Vocal learning requires the control of respiration. We analyzed\nthe temporal features of successive vocalizations in human infants and juvenile\nBengalese finches, one of the songbird species. We used three temporal parameters;\nNote duration (ND; vocalizations with expirations), Inter-onset-interval (IOI;\nbetween the onset of the preceding note and the onset of the following note) and\nInter-note-interval (INI; silent period without any vocalizations). These\ntemporal parameters might be related to the intentional vocalization with\nrespiratory control. It should be useful to compare different vocalizations\nacross the developmental stages and across the species. The aim of this study\nwas to show whether developmental changes of the temporal parameters were\ncommon with human infants and birds.Human infants\nproduced unstable IOIs before babblings or at the beginning of babblings. Their\nfrequency distributions diverged, though the distribution patterns in the early\nphase (1 month old) and that in the later phase (12 months old) were similar. We\nfound that the distribution of IOI became diverse before babblings and then later\nthe distribution converged into the same range of the early phase. On the other\nhand, Bengalese finches had unstable duration of temporal parameters in the\nearly phase. Through the development, these distributions gradually converged. Developmental\npattern of temporal parameters in finches showed a different trajectory from\nthat in humans. The babbling\nin human infants and the subsong in birds were considered to be analogues as\nthe unstable vocalizations in the beginning of sensorimotor learning phase.\nHowever, our results suggested that the babbling might be the vocalization with\nthe controlled respiration while the subsong might be the vocalization in which\nrespiration control is still under development.";"Brain Science Institute, RIKEN, Saitama, Japan"
"Cornelia Franz-Schaider";"Traumatic experiences in early childhood are reflected in social networks of adult chimpanzees (Pan troglodytes)     (#913)";"Adverse early life experiences are known to affect the social behaviour of human and non-human primates. We investigated the integration of adult zoo as well as re-socialised ex-laboratory chimpanzees (Pan troglodytes) by focusing on close proximity and grooming behaviour using social network analysis (SNA).We compared individual social network measures of three groups of ex-laboratory chimpanzees at the Primate Sanctuary at Gänserndorf, AT to that of two groups of zoo chimpanzees at Burgers Zoo and Dierenpark Amersfort, NL. The ex-laboratory chimpanzees  experienced either early (EDs, n=10) or later (LDs, n=8) deprivation from their mothers and single caging for decades. The zoo groups comprised wild-born maternally deprived “founder” individuals (MDs, n=9) as well as non-deprived (NDs, n=16) animals. If age at onset of deprivation affects later social integration we expected social network measures to differ between individuals with traumatic experiences during early childhood, i.e. EDs and MDs, and later deprived as well as mother-reared ND individuals. If, however, duration affects social integration ex-laboratory chimpanzees are expected to differ from zoo chimpanzees. Our study revealed that proximity networks were most strongly affected by the duration of deprivation as ex-laboratory chimpanzees were much more selective regarding their association with partners subsequent to re-socialization than were zoo chimpanzees. However, ex-laboratory chimpanzees partially recovered during the second year of group life. Grooming interactions, in contrast, appeared to be more affected by the age of onset of trauma since MD chimpanzees were less well integrated in grooming networks than their zoo born and mother-reared ND conspecifics. Network measures of these founder chimpanzees were comparable to those of ED chimpanzees, even after living sometimes more than 40 years in the stable zoo groups. Thus, our data suggest that early traumatic experiences as well as lack of social experience affect social integration of chimpanzees throughout their lifetime.";"Department of Zoology, Karl-Franzens University, Graz, Austria"
"Mark Briffa";"Animal personality as a cause and consequence of contest behaviour: Evidence from fighting in hermit crabs and sea anemones     (#399)";"I review the evidence for links between consistent among-individual variation in behaviour (animal personality) and the ability win contests over limited resources, focussing on recent experiments in hermit crabs and sea anemones. Bold behaviours often co-vary with contest behaviour and outcome, although there is evidence that the structure of these behavioural syndromes can change across situations. Aggression itself is typically repeatable, but also subject to high within-individual variation as a consequence of plastic responses to previous fight and outcomes opponent traits. Common proximate mechanisms may underpin variation in both contest behaviour and general personality traits. Given the theoretical links between the evolution of fighting and of personality, with the possibility that both are driven by negative frequency dependent selection, longitudinal studies of contest behaviour, combining behavioural and physiological data, should be a useful context for the study of animal personalities.";"University of Plymouth, Plymouth, DEVON, United Kingdom"
"Alex McQueen";"Can adaptation to background colours explain the evolution of bird colour diversity?     (#400)";"Animal colouration is one of the least understood components\nof phenotypic variation. Colours may be conspicuous – demanding the attention\nof rivals or mates – or they may be cryptic, allowing animals to remain\nundetected by predators or prey. The degree to which colours are conspicuous or\ncryptic is influenced by their contrast against a background. Variation in\nbackground colours and differences in habitat use could therefore promote the\nevolution of diverse animal colours. If colours are adapted to their\nbackgrounds, cryptic colours should be less – and conspicuous colours more –\ncontrasting if seen against commonly used, relative to unused, backgrounds. We\ntested these predictions in a community of Australian woodland birds by\ncomparing the contrasts between plumage colours and the backgrounds of used and\nunused microhabitats for foraging, nesting and display. Although, in general,\npatterns of plumage-background contrast followed our expectations for cryptic\nand conspicuous colours, the average differences in contrast were small and\nrarely statistically significant. We conclude that while selection for optimal\nbackground contrast may explain colour variation in some species, it has\nlimited potential to comprehensively explain colour diversity at the community\nlevel.";"School of Biological Sciences, Monash University, Clayton"
"Herbert Hoi";"Females produce more colourful eggs when males sing faster: My males song turns me on!      (#401)";"Maternal investment can play an important role\nfor offspring fitness, especially in birds, as females have to provide their\neggs with all the necessary nutrients for the development of the embryo. It is known that this type of maternal\ninvestment can be influenced by the quality of the male partner. In this study\nwe first verify that male song is important in the mate choice of female Eurasian\nreed warblers, as males mate faster when they sing more complex. Furthermore,\nfemale egg investment varies in relation to male song characteristics. Interestingly,\nclutch size, egg weight or size, which can be considered as high-cost\ninvestment, is not influenced by male song characteristics, whereas comparably low-cost\ninvestment types like investment into diverse egg components are adjusted to\nmale song characteristics. In line with this, our results suggest that female\nallocation rules depend on investment type as well as song characteristics. For\nexample, egg white lysozyme is positively correlated to male song complexity.\nIn contrast, a negative correlation exists between song speed and syllable\nrepetitiveness and egg yolk weight as well as egg yolk testosterone\nconcentration. Thus our results suggest that female egg investment is related\nto male song performance in several aspects, but female investment patterns regarding\nvarious egg compounds are not simply correlated.    ";"University of Veterinary Medicine Vienna, Vienna, AUSTRIA, Austria"
"Naomi F Green";"Contrasting borders promote avoidance learning of aposematic signals by marine predators.     (#402)";"Visual signals are used by animals to meet a\nrange of communication purposes, including: to attract mates, defend territories\nand to deter predators. The sensory and psychological traits of signal receivers\ncan act as selective pressures that drive the evolution and design of visual signals.\nHere, we investigated whether particular components of conspicuous warning\nsignals (colour, pattern, borders) improved learning that a prey item was\nunprofitable by marine predators, and also which cues they paid most attention to\nwhen making generalisations about novel visual stimuli. To do this, we conducted\nbehavioural experiments in aquaria with our model fish predator, the Picasso\ntriggerfish (Rhinecanthus aculeatus).\nFish were trained to approach and tap at different coloured stimuli to either\nreceive a palatable or unpalatable food reward. Visual stimuli were designed\nbased on those displayed by nudibranchs (sea slugs). These shell-less molluscs\nuse conspicuous colours and patterns to warn predators they contain toxic\ncompounds, which they sequester from their sponge diet. We designed our\ncoloured stimuli based on Chromodorididae nudibranch colour patterns, many of\nwhich have a yellow border, with red or blue highly contrasting internal\npatterns. We found that the external yellow border strengthened avoidance\nlearning by predators, and this was also an essential component of the signal\nfor fish to make generalisations between learnt colour patterns and novel (but\nsimilar) colour patterns.  These results help\nexplain variation within internal patterns of nudibranch signals both within\nand between species, as avoidance learning seems to be achieved through the highly\nconserved yellow border. This study provides intriguing insights in to the importance of pattern in animal visual signals to predators,\nthe relative role of each signal component, and how variation in warning signals\ncan be maintained in the marine environment.";"School of Biology, University of Queensland, St Lucia, QLD, Australia"
"Lillian J. Tuttle";"Invasive lionfish learn to avoid a “spicy” prey fish     (#403)";"Invasive red lionfish (Pterois\nvolitans) are voracious, generalist predators of Atlantic coral-reef\nfishes.  There is concern that lionfish\nmay consume cleaner gobies (Elacatinus\nspp.): ubiquitous, conspicuous, and ecologically important species that clean\nparasites off of other reef fishes.  We\nconducted two laboratory experiments to test whether or not (1) juvenile lionfish\nand native groupers eat E. genie, and\n(2) lionfish learn not to eat E. genie,\nwhich have a putative skin toxin.  Nearly\nhalf of invasive lionfish (n=14 of 31) and native graysby grouper (Cephalopholis cruentata, n=11 of 23) ate\nE. genie, all of which\nhyperventilated for several minutes post-consumption.  During the second experiment, most lionfish (n=18\nof 24) either successfully ate the goby, or ate it and spit it out immediately,\nhyperventilating in either case.  After\neating E. genie, lionfish experienced\nelevated ventilation rates over twice as vigorous (mean±SEM = 140.7±1.9 vs.\n64.3±1.4 opercular beats/minute) and for 6 times as long (mean±SEM = 11.8±5.4\nvs. 1.6±0.2 minutes) as those experienced after eating similarly sized and\nshaped non-toxic prey (bridled goby Coryphopterus\nglaucofraenum).  During subsequent\nexposures of the same lionfish to E.\ngenie over the course of two weeks, lionfish would often approach the goby\nclosely, then turn away without striking. \nThese data are consistent with those of manipulative experiments conducted\non coral patch reefs that found no effect of lionfish on Elacatinus spp. abundance. \nDue to their distastefulness, E.\ngenie may be one of the few fishes on Atlantic coral reefs that escape the\njaws of invasive lionfish.";"Department of Integrative Biology, Oregon State University, Corvallis, OR, USA"
"Huon L Clark";"Adaptive shifts in female mating preferences within in a fiddler crab population     (#425)";", "Australian National University, Brinkin, NT, Australia"
"Amanda M. Lea";"Irrational mate choice: decoy effects in the túngara frog     (#426)";"Mate choice is one of the most important decisions an animal makes and it promotes the evolution of some of the most elaborate traits in nature.  Mate choice models derive from traditional microeconomic decision theory, implicitly assuming that individuals behave rationally by maximizing their Darwinian fitness, the logical evolutionary analogy to economic utility(1).  Rational choices exhibit the property of regularity, requiring that the relative strength of preferences between objects remain stable when additional options are available.  Human consumers routinely violate this assumption(2-3) and there is evidence that nonhuman animals make irrational foraging decisions(4-5).  The long held assumption of rationality in mate choice, however, has yet to be rejected.  Here we show that female frogs reverse their mate decisions in a systematic manner known as a “decoy effect,” violating the axiom of regularity and therefore the assumption of rationality in mate choice.  We tested preferences for three mating calls in which their total subjective value to females was a function of static acoustic characters and the rate at which the call was presented.  In binary choice tests, the females’ preferences for these three stimuli were transitive and favored stimulus B (B>A, B>C, A>C).  In trinary tests, in which C is by definition the inferior decoy, females’ preferences showed a significant change in preference from B to A, whether the females could actually choose the decoy or only hear it.  Decoy effects in mate decisions reveal that the relative valuation of two mates is not independent of inferior alternatives in the choice set and therefore cannot be explained with rational choice models such as those we currently utilize for understanding mate choice.";"University of Texas at Austin, Austin, TEXAS, United States"
"Amod M Zambre";"Foraging plasticity facilitates persistence of an obligate corallivore butterflyfish on disturbance-prone reefs     (#121)";"Climate induced mass bleaching causes large scale coral mortality resulting in reefs that are poor and patchy in resources. This severely affects obligate corallivores like butterflyfish that show rapid declines subsequent to bleaching events. Although patterns and mechanisms of declines are relatively well understood, little is known about how resilient obligate corallivores manage to persist on bleached reefs. To explore this, we compared foraging behavior of a resilient obligate corallivore Melon Butterflyfish Chaetodon trifasciatus across three atolls in the Lakshadweep archipelago with similar pre bleaching coral cover and communities that suffered differential bleaching in the wake of 2010 El Nino Southern Oscillations (ENSO). Our results indicated that densities of C. trifasciatus did not show any clear trend with respect to coral cover. However, foraging behavior varied considerably between atolls, with individuals at low-coral cover atolls a) spending more time traveling between resource patches b) compensating for decreased foraging time by increasing intake rate during each foraging bout and c) becoming considerably less selective of the coral genera they eat. This foraging plasticity is likely crucial for the persistence of coral obligates in sub-optimal environments subject to repeated coral declines. Understanding such species-specific responses to bleaching is critical to understanding how species interactions are likely to change, and to be able to predict fish community assembly in the wake of increased frequency of climate disturbances.";"Centre for Ecological Sciences, Indian Institute of Science, Bangalore"
"Delia Shelton";"Hidden in pairs, revealed in shoals: indirect effects of cadmium on zebrafish group behaviour     (#122)";"Behavior can depend profoundly on the social context, as individuals behave differently in a dyad than when in a larger group. Here, we asked whether trace levels of cadmium, a common industrial pollutant, influences the exploratory behavior of zebrafish (Danio rerio) differently when the fish were tested in pairs or in the context of a larger group of untreated fish. We found no difference in the exploratory behavior of cadmium-treated fish and water-treated controls, when those fish were tested in pairs. In the context of a larger group of 6 fish, however, we observed a striking difference. Groups that contained a pair of cadmium-treated fish approached and remained near a novel stimulus more than did groups containing a pair of water-treated control fish. The difference in group, but not pair, behavior suggests that environmental pollutants can have indirect effects on group behavior.";"Center for the Integrative Study of Animal Behavior, Bloomington, IN, United States"
"Nozomi Nishiumi";"Look before you leap: Jump after the initiation of snake strike increases probability of successful escape      (#408)";"To avoid\npredation, many prey animals remain motionless, which enhances crypsis. It is\ngenerally considered that once predator detects the immobile prey, the\nmotionless state loses the function of crypsis, and thus the prey should not\nremain motionless because allowing predators come close simply makes prey\ndifficult to escape. Contrary to this expectation, frogs often remain\nmotionless even when they are detected by predator snakes, and the frogs\ninitiate fleeing at a closer distance. To reveal possible advantages of the\nresponse, we conducted field observations to comprehend the situation of\npredation event of them. According to the observed situation, we conducted staged\nencounter experiments using frogs and snakes to examine factors that affect\nsuccessful escape of frogs, especially focusing on strike behavior of snakes in\nclose quarters. From the field observations, it was confirmed that the predation\nevents between frogs and snakes are settled within a few seconds because of\nmuch safe zone for frogs around the predation event. In the experiment, video\nanalysis revealed that snakes are not able to change the course of strike after\ninitiating it, and not able to move in a split second after the strike behavior.\nThus, it was demonstrated that frogs are able to evade the snake strike with a\ncertain distance, and letting snakes to initiate strike and evading it is\neffective to make snakes pause in a split second that allows frogs to escape\nsuccessfully. In conclusion, flight initiation of frogs after initiation of\nsnake strike may increase the probability of successful escape, and thus, waiting\nfor strike of snakes until they closely approach can be an adaptive decision\nthat results in head start. This mechanism may explain the immobile response of\nfrogs under being detected by snakes.";"Kyoto University, Sakyo, NAGASAKI, Japan"
"Rebecca Wheatley";"Predation strategies: predicting optimal running speed when there is a trade-off with manoeuvrability     (#409)";"Ecologists\nhave traditionally used maximum performance as an indicator of the likelihood\nof task success. However, this is not always the case: individuals do not necessarily\nneed to be able to outrun a predator using their maximum speed, and may instead employ tight turns to outmanoeuvre it and escape. The functional performance\ntrade-off between speed and manoeuvrability means that the faster an individual\nruns, the less manoeuvrable it becomes. Selecting the optimum running speed\nbecomes a matter of finding the perfect balance between these two performance\ntraits for a given situation. We would expect animals to evolve toward their\noptimum performance in tasks where the stakes are high. However, whether\nindividuals choose to perform at this optimum in different ecological settings is\nlikely to be dependent on a variety of physiological and environmental factors. Our\nwork uses optimality modelling to predict the optimum running speed when there\nis a trade-off with manoeuvrability in a native insectivorous marsupial, the\nbuff-footed Antechinus (Antechinus\nmysticus). We then use experimental tests to determine whether Antechinus choose\nto employ this optimum speed in different\necological settings, where they act as either a predator or a prey species.\nThese kinds of trade-offs offer explanations as to why seemingly unintuitive\nbehaviours are exhibited in the natural world.";"University of Queensland, St Lucia, QLD, Australia"
"Charlie Huveneers";"White sharks exploit the sun during predatory approaches     (#255)";"There is no conclusive evidence of any non-human animal using the Sun as part of its predation strategy. Here, we show that the world’s largest predatory fish, the white shark (Carcharodon carcharias), exploits the Sun when approaching baits by positioning the Sun directly behind them. On sunny days, sharks reversed their direction of approach along an east-west axis from morning to afternoon, but had uniformly distributed approach directions during overcast conditions. These results show that white sharks have sufficient behavioral flexibility to exploit fluctuating environmental features when predating. This sun-tracking predation strategy has a number of potential functional roles including improvement of prey detection, avoidance of retinal over-stimulation, and predator concealment.";"School of Biological Sciences, Flinders University, Bedford Park, SA, Australia"
"Pete C Trimmer";"Predicting behavioural responses to rapidly-altered environments: state-dependent detection theory.     (#256)";", "University of Bristol, Bristol, United Kingdom"
"Eileen A Hebets";"Degeneracy in complex animal signaling.     (#501)";"Animal\ncommunication is frequently multicomponent or multimodal, intermixing distinct\nsignals of particular physical form into a complex display. Here we propose\nthat adopting concepts from systems biology can advance comprehension of the\nfunction and evolution of animal signals. A systems approach to animal\nsignaling considers the utility of a signal across all operational contexts\n(which could be ecological or behavioural), rather than limiting consideration\nto a single function for each signal.  It\nrecognizes that signal elements can function differently across different\necological or behavioural contexts. We place a special emphasis on the concept\nof degeneracy, which has been pivotal in understanding several other evolved\nself-organizing systems but has thus far been overlooked in the animal signaling\nliterature. A degenerate system (in contrast to a redundant system) contains\nstructurally distinct elements that overlap in function in at least one\ncontext. Degenerate organization adds both robustness and adaptability to\nsystems and could be a critical concept in guiding our understanding of the\nevolution of complexity in animal signaling. We suggest that incorporating key concepts\nfrom systems biology into animal communication will stimulate novel research\nquestions and innovations towards an understanding of why animal signals are so\ncomplex, and how such signaling systems have evolved.";"Department of Biological Sciences, Macquarie University, North Ryde, NSW, Australia"
"Anne S. Leonard";"Multiple perspectives on multisensory stimuli: Insights and prospects from the study of plant-pollinator communication     (#502)";"Over the past\n15 years, the question of how and why animals integrate multimodal stimuli has received considerable attention from animal behaviorists. Even outside our field, piecing\ntogether the puzzle of multisensory integration has garnered the attention of neuroscientists\ninterested in the mechanisms of perception working with both humans and model organisms such as Drosophila. Against\nthis backdrop, a century of work on the sensory worlds of bees has led to their\nemergence as a highly tractable system for the study of multimodal integration\nfrom both proximate and ultimate perspectives. Not only are their visual and\nolfactory worlds relatively well-characterized, but we can also\nstraightforwardly manipulate features of bees' developmental environment\nrelevant to sensory processing. Likewise, by framing research questions in the\ncontext of a mutualism, we can assess the fitness consequences of sensory\ncomplexity from the perspectives of both sender (plant) and receiver\n(pollinator). Using bees as a case study, we adapt a classic ethological framework\nto answer the question of what makes multimodal signals unique from\nontogenetic, mechanistic, functional, and (co-)evolutionary perspectives. Highlighting\na series of findings from our lab-based experiments on bumblebees (Bombus impatiens) using both free-flying\nbehavioral assays and classical conditioning of the proboscis extension\nresponse (PER), we explore how multimodality enhances the efficacy of signal\ntransmission across multiple temporal and spatial scales. Building from recent work\nshowing that complex interactions between scent and color guide discrimination\nlearning in a nectar-foraging context, we outline future prospects relating to developing\na multisensory perceptual space and untangling the role of multimodality in\nmediating the difficulty of floral choice.";"University of Nevada, Reno, Reno, NV, United States"
"Nicole E Munoz";"Why should animals integrate multisensory stimuli?     (#503)";"There are many studies that focus on proximate mechanisms of\nmultisensory integration and some that focus on ultimate issues such as how\nsuch signals constrain speciation, but there is no overarching framework to\npredict when stimuli from different modalities should be integrated. We\ndeveloped a model to predict when information from two different sensory\nmodalities should be integrated. In some situations, using a single stimulus is\nadvantageous over integration. We empirically evaluated key predictions from\nthe model in an antipredator context using yellow-bellied marmots (Marmota flaviventris). Individuals were\npresented first with coyote urine followed by coyote vocalizations. In\nagreement with the predictions from the model, we found that marmots only\nintegrated stimuli when foraging under greater predation risk or when the\nvocalizations were embedded in noise. We also tested whether integration varied\nunder different costs of mistakes. It did not. This finding was somewhat expected\ngiven that the cost of mistakes was the least influential parameter determining\nintegration in our model. Overall, our model makes clear predictions about the\nextent to which various factors influence integration with the aim of providing\ntestable hypotheses to guide future empirical work.";"University of California, Los Angeles, Los Angeles, CA, United States"
